Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,all,367305,1.0
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,3+,220383,0.6
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,1,73461,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,2,73461,0.2
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,3,128557,0.35
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,4,91826,0.25
Sep 2025,HTI,11214615,Nord-Ouest,Nord-ouest HT01,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,all,195978,1.0
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,3+,146983,0.75
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,1,19598,0.1
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,2,29397,0.15
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,3,68592,0.35
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,4,78391,0.4
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,all,195978,1.0
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,3+,146983,0.75
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,1,19598,0.1
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,2,29397,0.15
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,3,68592,0.35
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,4,78391,0.4
Sep 2025,HTI,11214615,ZMPAP,Camp de deplacement,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,all,632431,1.0
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,3+,284594,0.45
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,1,158108,0.25
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,2,189729,0.3
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,3,189729,0.3
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,4,94865,0.15
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,all,632431,1.0
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,3+,284594,0.45
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,1,158108,0.25
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,2,189729,0.3
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,3,189729,0.3
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,4,94865,0.15
Sep 2025,HTI,11214615,ZMPAP,"Delmas, Petion Ville et Carrefour P+TP",first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,all,871707,1.0
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,3+,523024,0.6
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,1,174341,0.2
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,2,174341,0.2
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,3,305097,0.35
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,4,217927,0.25
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,all,871707,1.0
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,3+,523024,0.6
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,1,174341,0.2
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,2,174341,0.2
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,3,305097,0.35
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,4,217927,0.25
Sep 2025,HTI,11214615,ZMPAP,Port-au-Prince et Cite Soleil P_TP,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,all,87019,1.0
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,3+,43510,0.5
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,1,17404,0.2
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,2,26106,0.3
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,3,30457,0.35
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,4,13053,0.15
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,all,87019,1.0
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,3+,43510,0.5
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,1,17404,0.2
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,2,26106,0.3
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,3,30457,0.35
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,4,13053,0.15
Sep 2025,HTI,11214615,ZMPAP,Croix de Bouquet  et Tabarre P+ TP,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,all,465189,1.0
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,3+,279114,0.6
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,1,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,2,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,3,186076,0.4
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,4,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,all,465189,1.0
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,3+,279114,0.6
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,1,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,2,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,3,186076,0.4
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,4,93038,0.2
Sep 2025,HTI,11214615,Centre,Bas plateau HT03,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,all,494996,1.0
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,3+,247498,0.5
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,1,123749,0.25
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,2,123749,0.25
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,3,173249,0.35
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,4,74249,0.15
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,all,494996,1.0
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,3+,247498,0.5
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,1,123749,0.25
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,2,123749,0.25
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,3,173249,0.35
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,4,74249,0.15
Sep 2025,HTI,11214615,Centre,Haut plateau HT04,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,all,486921,1.0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,3+,243460,0.5
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,1,121730,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,2,121730,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,3,170422,0.35
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,4,73038,0.15
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,all,486921,1.0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,3+,243460,0.5
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,1,121730,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,2,121730,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,3,170422,0.35
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,4,73038,0.15
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT01,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,all,345424,1.0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,3+,189984,0.55
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,1,69085,0.2
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,2,86356,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,3,138170,0.4
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,4,51814,0.15
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,all,345424,1.0
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,3+,189983,0.55
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,1,69085,0.2
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,2,86356,0.25
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,3,120898,0.35
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,4,69085,0.2
Sep 2025,HTI,11214615,Sud-Est,Sud-Est HT07,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,all,77951,1.0
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,3+,27283,0.35
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,1,23385,0.3
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,2,27283,0.35
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,3,19488,0.25
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,4,7795,0.1
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,all,77951,1.0
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,3+,27283,0.35
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,1,23385,0.3
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,2,27283,0.35
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,3,19488,0.25
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,4,7795,0.1
Sep 2025,HTI,11214615,Nord-Est,Ville de Ouanaminthe,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,all,411235,1.0
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,3+,185056,0.45
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,1,102809,0.25
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,2,123371,0.3
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,3,123371,0.3
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,4,61685,0.15
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,all,411235,1.0
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,3+,205617,0.5
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,1,102809,0.25
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,2,102809,0.25
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,3,143932,0.35
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,4,61685,0.15
Sep 2025,HTI,11214615,Nord-Est,Nord-est HT02 + HT03,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,all,204146,1.0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,3+,112280,0.55
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,1,40829,0.2
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,2,51037,0.25
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,3,81658,0.4
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,4,30622,0.15
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,all,204146,1.0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,3+,112280,0.55
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,1,40829,0.2
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,2,51037,0.25
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,3,81658,0.4
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,4,30622,0.15
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT07,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,all,418051,1.0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,3+,188123,0.45
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,1,104513,0.25
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,2,125415,0.3
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,3,125415,0.3
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,4,62708,0.15
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,all,418051,1.0
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,3+,209026,0.5
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,1,104513,0.25
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,2,104513,0.25
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,3,146318,0.35
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,4,62708,0.15
Sep 2025,HTI,11214615,Grand-Anse,Grande-anse HT08+Jérémie,first projection,2026-03-01,2026-07-31,5,0,0
